Zone,District,Upazilla,Union,THACODE,Mouza,Village,Weight
West,Khulna,Dumuria,,404730,*Chuknagar,Putimari,0.004396315
West,Khulna,Dumuria,,404730,*Chuknagar,Dariadanga,0.004384504
West,Khulna,Dumuria,,404730,*Kulbaria,Kulbaria,0.005972828
West,Khulna,Dumuria,,404730,*Kulbaria Baratia,Kulbaria Baratia,0.003762564
West,Khulna,Dumuria,,404730,*Kulbaria Baratia,Baratia,0.003561634
West,Khulna,Dumuria,,404730,*Kulbaria Baratia,Matbaria,0.003687478
West,Khulna,Dumuria,,404730,*Kulbaria Baratia,Gobindakatia,0.003608366
West,Khulna,Dumuria,,404730,*Kulbaria Baratia,Nizkhali,0.004980347
West,Khulna,Dumuria,,404730,*Maltia,Maltia,0.003558973
West,Khulna,Dumuria,,404730,*Manoharpur,Manoharpur,0.005018703
West,Khulna,Dumuria,,404730,*Narnia,Narnia,0.003562546
West,Khulna,Dumuria,,404730,*Rostampur,Rostampur,0.00368677
West,Khulna,Dumuria,  Bhandar Para Union Total,404730,*Purba Andhar Manik,Purba Andhar Manik,0.005362843
West,Khulna,Dumuria,,404730,*Bakultala,Bakultala,0.003909274
West,Khulna,Dumuria,,404730,*Banda,Banda,0.004295599
West,Khulna,Dumuria,,404730,*Banda Raghunatpur,Banda Raghunatpur,0.006036245
West,Khulna,Dumuria,,404730,*Bhandar Para,Bhandar Para,0.003942036
West,Khulna,Dumuria,,404730,*Britti Kanaidanga,Britti Kanaidanga,0.003709275
West,Khulna,Dumuria,,404730,*Chak Sonadanga,Chak Sonadanga,0.003850237
